name,v_max,n_points,quality,distance,luminosity,selected,reason
CamB,20.1,9,2,3.36,0.075,True,passed
D512-2,37.2,4,2,15.2,0.325,False,n_points=4 < 8
D564-8,25.0,6,2,8.79,0.033,False,n_points=6 < 8
D631-7,58.5,16,1,7.72,0.196,True,passed
DDO064,46.9,14,1,6.8,0.157,True,passed
DDO154,48.2,12,2,4.04,0.053,True,passed
DDO161,67.5,31,1,7.5,0.548,True,passed
DDO168,55.0,10,2,4.25,0.191,True,passed
DDO170,62.2,8,2,15.4,0.543,True,passed
ESO079-G014,178.0,15,1,28.7,51.733,False,v_max=178.0 >= 80.0
ESO116-G012,112.0,15,1,13.0,4.292,False,v_max=112.0 >= 80.0
ESO444-G084,63.1,7,2,4.83,0.071,False,n_points=7 < 8
ESO563-G021,321.0,30,1,60.8,311.177,False,v_max=321.0 >= 80.0
F561-1,50.4,6,3,66.4,4.077,False,n_points=6 < 8
F563-1,112.5,17,1,48.9,1.903,False,v_max=112.5 >= 80.0
F563-V1,29.5,6,3,54.0,1.54,False,n_points=6 < 8
F563-V2,118.0,10,1,59.7,2.986,False,v_max=118.0 >= 80.0
F565-V2,83.1,7,2,51.8,0.559,False,v_max=83.1 >= 80.0
F567-2,52.2,5,3,79.0,2.134,False,n_points=5 < 8
F568-1,142.0,12,1,90.7,6.252,False,v_max=142.0 >= 80.0
F568-3,120.0,18,1,82.4,8.346,False,v_max=120.0 >= 80.0
F568-V1,118.0,15,1,80.6,3.825,False,v_max=118.0 >= 80.0
F571-8,144.0,13,1,53.3,10.164,False,v_max=144.0 >= 80.0
F571-V1,84.3,7,2,80.1,1.849,False,v_max=84.3 >= 80.0
F574-1,99.7,14,1,96.8,6.537,False,v_max=99.7 >= 80.0
F574-2,40.0,5,3,89.1,2.877,False,n_points=5 < 8
F579-V1,114.0,14,1,89.5,11.848,False,v_max=114.0 >= 80.0
F583-1,86.9,25,1,35.4,0.986,False,v_max=86.9 >= 80.0
F583-4,69.9,12,1,53.3,1.715,True,passed
IC2574,67.5,34,2,3.91,1.016,True,passed
IC4202,250.0,32,1,100.4,179.749,False,v_max=250.0 >= 80.0
KK98-251,34.6,15,2,6.8,0.085,True,passed
NGC0024,110.0,29,1,7.3,3.889,False,v_max=110.0 >= 80.0
NGC0055,87.4,21,2,2.11,4.628,False,v_max=87.4 >= 80.0
NGC0100,91.2,21,1,13.5,3.232,False,v_max=91.2 >= 80.0
NGC0247,108.0,26,2,3.7,7.332,False,v_max=108.0 >= 80.0
NGC0289,194.0,28,2,20.8,72.065,False,v_max=194.0 >= 80.0
NGC0300,97.0,25,2,2.08,2.922,False,v_max=97.0 >= 80.0
NGC0801,238.0,13,1,80.7,312.57,False,v_max=238.0 >= 80.0
NGC0891,234.0,18,1,9.91,138.34,False,v_max=234.0 >= 80.0
NGC1003,115.0,36,1,11.4,6.82,False,v_max=115.0 >= 80.0
NGC1090,176.0,24,1,37.0,72.045,False,v_max=176.0 >= 80.0
NGC1705,73.2,14,3,5.73,0.533,False,quality=3 > 2
NGC2366,53.7,26,3,3.27,0.236,False,quality=3 > 2
NGC2403,136.0,73,1,3.16,10.041,False,v_max=136.0 >= 80.0
NGC2683,212.0,11,2,9.81,80.415,False,v_max=212.0 >= 80.0
NGC2841,323.0,50,1,14.1,188.121,False,v_max=323.0 >= 80.0
NGC2903,216.0,34,1,6.6,81.863,False,v_max=216.0 >= 80.0
NGC2915,86.5,30,2,4.06,0.641,False,v_max=86.5 >= 80.0
NGC2955,276.0,24,1,97.9,319.422,False,v_max=276.0 >= 80.0
NGC2976,88.7,27,2,3.58,3.371,False,v_max=88.7 >= 80.0
NGC2998,214.0,13,1,68.1,150.902,False,v_max=214.0 >= 80.0
NGC3109,67.3,25,1,1.33,0.194,True,passed
NGC3198,157.0,43,1,13.8,38.279,False,v_max=157.0 >= 80.0
