L,T,J,h,kappa,g,mu,gamma,sigma,delta,m_tol,p_geo,p_neu,p_both,rho,mean_abs_phi,mean_m,stderr_rho
16,4.0,0.3,0.0,20.0,0.5,1.0,0.5,1.0,1.0,0.1,0.0,0.615,0.0,nan,0.3829729784729562,-0.07111979166666667,nan
16,4.0,0.3,0.0,35.0,0.5,1.0,0.5,1.0,1.0,0.1,0.18666666666666668,0.7233333333333334,0.145,1.073897300855826,0.28250380980122,-0.04864583333333333,0.05556015979782629
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.0,0.1,0.7716666666666666,0.7916666666666666,0.61,0.9985222234852792,0.23160597089840262,-0.0322265625,0.014715737056903653
16,4.0,0.3,0.0,75.0,0.5,1.0,0.5,1.0,1.0,0.1,0.9716666666666667,0.805,0.7783333333333333,0.9950672789064913,0.1957535987957018,-0.02734375,0.002174962986935848
16,4.0,0.3,0.0,100.0,0.5,1.0,0.5,1.0,1.0,0.1,1.0,0.8083333333333333,0.8083333333333333,1.0,0.16151838822329026,-0.002578125,0.0
16,4.0,0.3,0.0,50.0,0.0,1.0,0.5,1.0,1.0,0.1,0.5783333333333334,0.7716666666666666,0.44,0.9859268895375978,0.2512071989159941,-0.0351953125,0.02197710869392021
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.0,0.1,0.7716666666666666,0.7916666666666666,0.61,0.9985222234852792,0.23160597089840262,-0.0322265625,0.014715737056903653
16,4.0,0.3,0.0,50.0,1.0,1.0,0.5,1.0,1.0,0.1,0.825,0.84,0.69,0.9956709956709957,0.23255060402606043,-0.0148828125,0.01175176374710958
16,4.0,0.3,0.0,50.0,2.0,1.0,0.5,1.0,1.0,0.1,0.7733333333333333,0.6783333333333333,0.5083333333333333,0.9690332966195034,0.23220002292375597,0.06411458333333334,0.014482346131773634
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,0.8,0.08,0.15833333333333333,0.6866666666666666,0.115,1.0577414409810937,0.23160597089840262,-0.0322265625,0.07509710545062105
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,0.8,0.12,0.15833333333333333,0.89,0.135,0.958013010053223,0.23160597089840262,-0.0322265625,0.055567079561417584
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,0.8,0.18,0.15833333333333333,0.9833333333333333,0.155,0.9955396966993756,0.23160597089840262,-0.0322265625,0.019228330467088894
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.0,0.08,0.7716666666666666,0.6866666666666666,0.5183333333333333,0.9782130050955149,0.23160597089840262,-0.0322265625,0.01906276732993698
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.0,0.12,0.7716666666666666,0.89,0.6816666666666666,0.9925498094983862,0.23160597089840262,-0.0322265625,0.009612657575092257
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.0,0.18,0.7716666666666666,0.9833333333333333,0.755,0.9949848079950214,0.23160597089840262,-0.0322265625,0.002218899663655516
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.2,0.08,0.97,0.6866666666666666,0.66,0.9908918026223603,0.23160597089840262,-0.0322265625,0.004266693082949699
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.2,0.12,0.97,0.89,0.86,0.9961774585891348,0.23160597089840262,-0.0322265625,0.0010243606302994782
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.2,0.18,0.97,0.9833333333333333,0.9533333333333334,0.999475799405906,0.23160597089840262,-0.0322265625,0.0002723947483786247
16,4.0,0.3,0.0,50.0,0.5,1.0,0.5,1.0,1.0,0.1,0.7716666666666666,0.7916666666666666,0.61,0.9985222234852792,0.23160597089840262,-0.0322265625,0.014715737056903653
