name,type,n_samples,start,end,mean_bias,std_bias
GPST,AR,20160,2024-11-22 00:00:00,2024-11-28 23:59:30,7.298592994010858e-09,5.917091277822441e-10
ABMF,AR,1750,2024-11-22 00:00:00,2024-11-28 23:55:00,0.000370911546206405,0.00018062689206139226
ADIS,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,2.844418417285138e-09,1.5545540485867245e-08
AJAC,AR,2010,2024-11-22 00:00:00,2024-11-28 23:55:00,5.2087181184205224e-08,1.5466145965529122e-08
ALBH,AR,2015,2024-11-22 00:00:00,2024-11-28 23:55:00,-0.00012799384729043873,8.623423190352801e-07
ALGO,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,5.425975749384083e-09,5.940732007821464e-09
ALIC,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,1.694888648653729e-08,2.7509592358443093e-08
AMC4,AR,864,2024-11-22 00:00:00,2024-11-28 23:55:00,1.847442196578954e-07,6.48538818447401e-10
AREG,AR,2015,2024-11-22 00:00:00,2024-11-28 23:55:00,0.0003125119561291517,1.0086842522204293e-08
ARHT,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-2.0509557895404575e-09,8.024454279324573e-09
ARUC,AR,864,2024-11-22 00:00:00,2024-11-27 23:55:00,1.8022943359498949e-09,2.35229177292603e-09
ASCG,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-4.317495619932828e-08,1.5903869794555298e-08
BADG,AR,1948,2024-11-22 00:00:00,2024-11-28 23:55:00,1.585087545843585e-05,3.203633563845552e-09
BAKE,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,3.248358827510247e-09,7.62862543300373e-09
BHR4,AR,1728,2024-11-22 00:00:00,2024-11-28 23:55:00,2.2356867179878638e-07,5.360629795253599e-09
BJFS,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.5874053155992447e-08,3.0697986872835224e-09
BOGT,AR,1985,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.494542109268818e-09,1.7361913382330223e-08
BREW,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-0.003391627580089863,3.744513203911271e-06
BRFT,AR,2002,2024-11-22 00:00:00,2024-11-28 23:55:00,-2.1114924156221846e-08,7.851152910485046e-08
BRST,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.2310659324895728e-08,1.8601747521967244e-09
BRUX,AR,2010,2024-11-22 00:00:00,2024-11-28 23:55:00,2.062467062588869e-07,6.080429953032748e-10
BUCU,AR,1728,2024-11-22 00:00:00,2024-11-28 23:55:00,3.229610866349796e-08,1.6699175073073614e-08
CAS1,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,1.6162309062403936e-06,0.00028875150243378036
CCJ2,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-2.1203579429021186e-08,9.196265645317431e-09
CHAN,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,5.918593149935585e-05,1.8560781094381814e-07
CHPI,AR,2014,2024-11-22 00:00:00,2024-11-28 23:55:00,2.4464074850048596e-09,2.3041995228791062e-09
CHTI,AR,1128,2024-11-22 00:00:00,2024-11-27 21:55:00,-4.3618090567244944e-09,7.625502820299696e-09
COCO,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.5927091657826813e-09,1.2156007368580594e-08
CPVG,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,2.2911659939451703e-09,2.004093259276371e-08
CRO1,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,0.0027824335585222163,1.1909260218008253e-08
CUSV,AR,2006,2024-11-22 00:00:00,2024-11-28 23:55:00,5.132953040266694e-09,1.4841355520597832e-08
CZTG,AR,2002,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.606353896994305e-08,9.87485977267234e-09
DAEJ,AR,2006,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.7069949449165502e-08,4.578600203990616e-09
DARW,AR,2009,2024-11-22 00:00:00,2024-11-28 23:55:00,4.928715351914323e-09,1.1561730038962412e-08
DAV1,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,1.511558715595401e-09,1.1889209289855029e-08
DGAR,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,-1.0702134728641275e-09,1.7904914881962846e-09
DJIG,AR,2013,2024-11-22 00:00:00,2024-11-28 23:55:00,-3.050278715206463e-05,9.816189564675888e-09
DLF1,AR,2006,2024-11-22 00:00:00,2024-11-28 23:55:00,-2.2098040519264975e-08,2.0566409276217733e-09
DRAO,AR,2016,2024-11-22 00:00:00,2024-11-28 23:55:00,1.7295565327377287e-07,5.4018783005782584e-08
