reference_epoch,window_seconds,n_streams,streams
2024-11-22 00:50:00,2.0,8,"BREW,HRAO,IRKJ,QAQ1,SEYG,SUTM,UNBD,WIND"
2024-11-22 01:15:00,2.0,6,"ABMF,AREQ,BRFT,CAS1,NVSK,WUH2"
2024-11-22 01:40:00,2.0,8,"BREW,HRAO,IRKJ,LPGS,QAQ1,SEYG,UNBD,WIND"
2024-11-22 01:45:00,2.0,3,"BRFT,TUVA,WUH2"
2024-11-22 01:50:00,2.0,4,"BRFT,POHN,TUVA,WUH2"
2024-11-22 01:55:00,2.0,5,"BRFT,MOBS,POHN,TUVA,WUH2"
2024-11-22 02:00:00,2.0,5,"BRFT,MOBS,POHN,TUVA,WUH2"
2024-11-22 02:05:00,2.0,8,"ABMF,AREQ,BRFT,MOBS,NVSK,POHN,TUVA,WUH2"
2024-11-22 02:10:00,2.0,7,"BRFT,GPST,MAJU,MOBS,POHN,TUVA,WUH2"
2024-11-22 02:15:00,2.0,6,"BRFT,MAJU,MOBS,POHN,TUVA,WUH2"
2024-11-22 02:20:00,2.0,6,"BRFT,MAJU,MOBS,POHN,TUVA,WUH2"
2024-11-22 02:25:00,2.0,5,"BRFT,MOBS,POHN,TUVA,WUH2"
2024-11-22 02:30:00,2.0,11,"ALIC,BREW,BRFT,HRAO,IRKJ,POHN,QAQ1,SEYG,SUTM,TUVA,WUH2"
2024-11-22 02:35:00,2.0,6,"ALIC,BRFT,MAJU,MOBS,POHN,WUH2"
2024-11-22 02:40:00,2.0,4,"BRFT,MAJU,POHN,WUH2"
2024-11-22 02:45:00,2.0,6,"BRFT,KITG,MAJU,MOBS,POHN,WUH2"
2024-11-22 02:50:00,2.0,5,"BRFT,MAJU,MOBS,POHN,WUH2"
2024-11-22 02:55:00,2.0,11,"ABMF,AREQ,CAS1,MAJU,MOBS,NVSK,POHN,TUVA,UNBD,WIND,WUH2"
2024-11-22 03:00:00,2.0,6,"ALIC,AREQ,MAJU,MOBS,POHN,WUH2"
2024-11-22 03:05:00,2.0,5,"AREQ,MAJU,MOBS,POHN,WUH2"
2024-11-22 03:10:00,2.0,6,"AREQ,MAJU,MOBS,POHN,TUVA,WUH2"
2024-11-22 03:15:00,2.0,5,"AREQ,MAJU,POHN,TUVA,WUH2"
2024-11-22 03:20:00,2.0,13,"AREQ,BREW,DUBO,HRAO,IRKJ,MAJU,MOBS,POHN,QAQ1,SEYG,SUTM,TUVA,WUH2"
2024-11-22 03:25:00,2.0,6,"ALIC,AREQ,MAJU,MOBS,POHN,WUH2"
2024-11-22 03:30:00,2.0,6,"AREQ,HOB2,MAJU,MOBS,POHN,WUH2"
2024-11-22 03:35:00,2.0,6,"AREQ,HOB2,KITG,MAJU,POHN,WUH2"
2024-11-22 03:40:00,2.0,6,"ALIC,AREQ,HOB2,MAJU,POHN,WUH2"
2024-11-22 03:45:00,2.0,13,"ABMF,ALIC,AREQ,HOB2,LPGS,MAJU,MOBS,POHN,PTVL,TUVA,UNBD,WIND,WUH2"
2024-11-22 03:50:00,2.0,9,"ALIC,AREQ,HOB2,MAJU,MOBS,POHN,PTVL,TUVA,WUH2"
2024-11-22 03:55:00,2.0,8,"ALIC,AREQ,HOB2,MAJU,MOBS,PTVL,TUVA,WUH2"
2024-11-22 04:00:00,2.0,6,"ALIC,AREQ,HOB2,MAJU,MOBS,WUH2"
2024-11-22 04:05:00,2.0,6,"ALIC,AREQ,HOB2,MOBS,POHN,WUH2"
2024-11-22 04:10:00,2.0,17,"ALIC,AREQ,BREW,CAS1,HOB2,HRAO,IRKJ,MAJU,MOBS,NVSK,POHN,QAQ1,SEYG,SUTM,TUVA,WHIT,WUH2"
2024-11-22 04:15:00,2.0,6,"AREQ,HOB2,MOBS,POHN,TUVA,WUH2"
2024-11-22 04:20:00,2.0,8,"ALIC,AREQ,HOB2,MOBS,POHN,PTVL,TUVA,WUH2"
2024-11-22 04:25:00,2.0,9,"ALIC,AREQ,HOB2,KITG,MOBS,POHN,PTVL,TUVA,WUH2"
2024-11-22 04:30:00,2.0,7,"ALIC,AREQ,HOB2,MOBS,POHN,PTVL,WUH2"
2024-11-22 04:35:00,2.0,6,"ABMF,AREQ,HOB2,MOBS,POHN,PTVL"
2024-11-22 04:40:00,2.0,6,"AREQ,HOB2,MAW1,POHN,PTVL,TUVA"
2024-11-22 04:45:00,2.0,6,"AREQ,HOB2,MAW1,POHN,PTVL,TUVA"
2024-11-22 04:50:00,2.0,6,"AREQ,HOB2,MAW1,POHN,PTVL,TUVA"
2024-11-22 04:55:00,2.0,6,"AREQ,HOB2,MAW1,POHN,PTVL,TUVA"
2024-11-22 05:00:00,2.0,15,"AREQ,BREW,HLFX,HOB2,HRAO,IRKJ,MAW1,MOBS,NVSK,POHN,PTVL,QAQ1,SEYG,UNBD,WIND"
2024-11-22 05:05:00,2.0,6,"AREQ,HOB2,MAW1,MOBS,POHN,PTVL"
2024-11-22 05:10:00,2.0,7,"AREQ,HOB2,MAW1,MOBS,POHN,PTVL,TUVA"
2024-11-22 05:15:00,2.0,9,"AREQ,GMSD,HOB2,KITG,MAW1,MOBS,POHN,PTVL,TUVA"
2024-11-22 05:20:00,2.0,5,"AREQ,HOB2,MAW1,POHN,TUVA"
2024-11-22 05:25:00,2.0,8,"ABMF,AREQ,HOB2,MAW1,POHN,SUTM,TUVA,WUH2"
2024-11-22 05:30:00,2.0,7,"AREQ,GMSD,HOB2,MAJU,MAW1,MOBS,TUVA"
2024-11-22 05:35:00,2.0,6,"AREQ,MAJU,MAW1,MOBS,POHN,TUVA"
2024-11-22 05:40:00,2.0,7,"ALIC,AREQ,MAJU,MAW1,MOBS,POHN,TUVA"
2024-11-22 05:45:00,2.0,8,"ALIC,AREQ,GMSD,MAJU,MAW1,MOBS,POHN,TUVA"
2024-11-22 05:50:00,2.0,17,"AREQ,BREW,CAS1,GMSD,HOB2,HRAO,IRKJ,MAJU,MAW1,MOBS,NVSK,POHN,QAQ1,SEYG,TUVA,UNBD,WIND"
2024-11-22 05:55:00,2.0,5,"AREQ,MAJU,MAW1,POHN,TUVA"
2024-11-22 06:00:00,2.0,7,"ALIC,AREQ,GMSD,MAJU,MAW1,MOBS,POHN"
2024-11-22 06:05:00,2.0,7,"ALIC,AREQ,GMSD,KITG,MAJU,MOBS,POHN"
2024-11-22 06:10:00,2.0,5,"AREQ,GMSD,MOBS,POHN,TUVA"
2024-11-22 06:15:00,2.0,9,"ABMF,AREQ,GMSD,LPGS,PIE1,POHN,SUTM,TUVA,WUH2"
2024-11-22 06:20:00,2.0,3,"GMSD,POHN,TUVA"
2024-11-22 06:25:00,2.0,3,"ALIC,POHN,TUVA"
2024-11-22 06:35:00,2.0,3,"ALIC,MAJU,MOBS"
2024-11-22 06:40:00,2.0,12,"ALIC,BREW,DUBO,GODE,HRAO,IRKJ,MAW1,MOBS,QAQ1,SEYG,UNBD,ZECK"
2024-11-22 06:50:00,2.0,4,"ALIC,HOB2,MOBS,POHN"
2024-11-22 06:55:00,2.0,5,"ALIC,HOB2,MOBS,POHN,SIN1"
2024-11-22 07:00:00,2.0,5,"HOB2,MOBS,POHN,SIN1,TUVA"
2024-11-22 07:05:00,2.0,16,"ABMF,AREQ,CAS1,FLIN,GODN,HERT,HOB2,IRKJ,MAJU,MOBS,NVSK,POHN,PTVL,SIN1,TUVA,WIND"
2024-11-22 07:10:00,2.0,9,"FLIN,HOB2,IRKJ,MAJU,MOBS,POHN,PTVL,SIN1,TUVA"
2024-11-22 07:15:00,2.0,7,"FLIN,HOB2,IRKJ,MAJU,MOBS,POHN,PTVL"
2024-11-22 07:20:00,2.0,6,"FLIN,HOB2,KITG,MAJU,MOBS,PTVL"
2024-11-22 07:25:00,2.0,5,"FLIN,HOB2,MOBS,PTVL,WUH2"
2024-11-22 07:30:00,2.0,14,"BADG,BREW,FLIN,HOB2,HRAO,IRKJ,MOBS,PTVL,QAQ1,SEYG,SUTM,TUVA,UNBD,WUH2"
2024-11-22 07:35:00,2.0,5,"HOB2,MOBS,PTVL,TUVA,WUH2"
2024-11-22 07:40:00,2.0,7,"ALIC,FLIN,HOB2,IRKJ,MOBS,TUVA,WUH2"
2024-11-22 07:45:00,2.0,6,"ALIC,FLIN,IRKJ,MOBS,TUVA,WUH2"
2024-11-22 07:50:00,2.0,6,"ALIC,FLIN,IRKJ,MOBS,TUVA,WUH2"
2024-11-22 07:55:00,2.0,9,"ABMF,ALIC,AREQ,CAS1,FLIN,IRKJ,MOBS,WIND,WUH2"
2024-11-22 08:00:00,2.0,5,"FLIN,GMSD,IRKJ,MAW1,WUH2"
2024-11-22 08:05:00,2.0,5,"FLIN,IRKJ,MAW1,TUVA,WUH2"
2024-11-22 08:10:00,2.0,8,"FLIN,GMSD,HOB2,IRKJ,KITG,MAW1,TUVA,WUH2"
2024-11-22 08:15:00,2.0,5,"FLIN,MAW1,PTVL,TUVA,WUH2"
2024-11-22 08:20:00,2.0,16,"BREW,FLIN,HOB2,HRAO,IRKJ,MAW1,MOBS,NVSK,PTVL,QAQ1,SEYG,SUTM,TUVA,WUH2,YEL2,YELL"
2024-11-22 08:25:00,2.0,7,"FLIN,HOB2,MAW1,MOBS,PTVL,TUVA,WUH2"
2024-11-22 08:30:00,2.0,6,"FLIN,GMSD,HOB2,MOBS,PTVL,WUH2"
2024-11-22 08:35:00,2.0,5,"FLIN,HOB2,MOBS,PTVL,WUH2"
2024-11-22 08:40:00,2.0,4,"FLIN,HOB2,MOBS,WUH2"
2024-11-22 08:45:00,2.0,7,"ABMF,AREQ,FLIN,HOB2,UNBD,WHIT,WUH2"
2024-11-22 08:50:00,2.0,4,"FLIN,HOB2,IRKJ,WUH2"
2024-11-22 08:55:00,2.0,4,"FLIN,IRKJ,MAW1,WUH2"
2024-11-22 09:00:00,2.0,5,"FLIN,IRKJ,KITG,MAW1,WUH2"
2024-11-22 09:05:00,2.0,4,"FLIN,IRKJ,MAW1,WUH2"
